hogar_id,survey_wave,income_q,d_income_ratio,d_wealth_ratio,adj_ratio,pesoEFHU
,1.0,1.0,,,,238.0
,1.0,1.0,,,,238.0
,1.0,1.0,,,,238.0
,1.0,1.0,,,,176.0
,1.0,1.0,,,,176.0
,1.0,1.0,,,,231.0
,1.0,1.0,,,,231.0
,1.0,1.0,,,,234.0
,1.0,1.0,,,,234.0
,1.0,1.0,,,,346.0
,1.0,1.0,,,,373.0
,1.0,1.0,,,,373.0
,1.0,1.0,,,,373.0
,1.0,1.0,,,,425.0
,1.0,1.0,,,,385.0
,1.0,1.0,,,,385.0
,1.0,1.0,,,,385.0
,1.0,1.0,,,,348.0
,1.0,1.0,,,,348.0
,1.0,1.0,,,,348.0
,1.0,1.0,,,,376.0
,1.0,1.0,,,,376.0
,1.0,1.0,,,,376.0
,1.0,1.0,,,,376.0
,1.0,1.0,,,,418.0
,1.0,1.0,,,,418.0
,1.0,1.0,,,,418.0
,1.0,1.0,,,,480.0
,1.0,1.0,,,,377.0
,1.0,1.0,,,,372.0
,1.0,1.0,,,,372.0
,1.0,1.0,,,,372.0
,1.0,1.0,,,,295.0
,1.0,1.0,,,,295.0
,1.0,1.0,,,,410.0
,1.0,1.0,,,,410.0
,1.0,1.0,,,,314.0
,1.0,1.0,,,,314.0
,1.0,1.0,,,,314.0
,1.0,1.0,,,,425.0
,1.0,1.0,,,,425.0
,1.0,1.0,,,,360.0
,1.0,1.0,,,,360.0
,1.0,1.0,,,,208.0
,1.0,1.0,,,,208.0
