survey_wave,total_savings_final,durables_final,hogar_id,pesoEFHU,household_income_q,income_q,d_income_ratio,d_wealth_ratio,adj_ratio
1,,0,,429,0,1,,,
1,,16500,,280,0,1,,,
1,,128000,,367,0,1,,,
1,,128000,,367,0,1,,,
1,,128000,,367,0,1,,,
1,,0,,318,0,1,,,
1,,53500,,392,0,1,,,
1,,53500,,392,0,1,,,
1,,0,,388,0,1,,,
1,,0,,388,0,1,,,
1,,0,,388,0,1,,,
1,,0,,399,0,1,,,
1,,0,,399,0,1,,,
1,,12000,,235,0,1,,,
1,,12000,,235,0,1,,,
1,,12000,,235,0,1,,,
1,,12000,,235,0,1,,,
1,,227000,,1,0,1,,,
1,,227000,,1,0,1,,,
1,,227000,,1,0,1,,,
1,,263000,,278,0,1,,,
1,,263000,,278,0,1,,,
1,,195000,,221,0,1,,,
1,,195000,,221,0,1,,,
1,,195000,,221,0,1,,,
1,,195000,,221,0,1,,,
1,,185000,,347,0,1,,,
1,,185000,,347,0,1,,,
1,,150000,,283,0,1,,,
1,,0,,278,0,1,,,
1,,0,,278,0,1,,,
1,,0,,399,0,1,,,
1,,80000,,233,0,1,,,
1,,80000,,233,0,1,,,
1,,126000,,193,0,1,,,
1,,90000,,179,0,1,,,
1,,20000,,296,0,1,,,
1,,80000,,277,0,1,,,
1,,1500,,151,0,1,,,
1,,1500,,151,0,1,,,
1,,1500,,151,0,1,,,
1,,1500,,151,0,1,,,
1,,1500,,151,0,1,,,
1,,1500,,151,0,1,,,
1,,1500,,151,0,1,,,
1,,4500,,392,0,1,,,
1,,4500,,392,0,1,,,
1,,4500,,392,0,1,,,
1,,2000,,316,0,1,,,
1,,2000,,316,0,1,,,
1,,2000,,316,0,1,,,
1,,1500,,311,0,1,,,
1,,1500,,311,0,1,,,
1,,1500,,311,0,1,,,
1,,0,,394,0,1,,,
1,,3000,,146,0,1,,,
1,,3000,,146,0,1,,,
1,,0,,201,0,1,,,
1,,0,,201,0,1,,,
1,,0,,158,0,1,,,
1,,7500,,221,0,1,,,
1,,3000,,183,0,1,,,
1,,2500,,275,0,1,,,
1,,2500,,275,0,1,,,
1,,2500,,275,0,1,,,
1,,2500,,275,0,1,,,
1,,200,,317,0,1,,,
1,,200,,317,0,1,,,
1,,200,,317,0,1,,,
1,,200,,317,0,1,,,
1,,0,,245,0,1,,,
1,,0,,245,0,1,,,
1,,0,,245,0,1,,,
1,,0,,245,0,1,,,
1,,0,,245,0,1,,,
1,,300,,296,0,1,,,
1,,300,,296,0,1,,,
1,,300,,296,0,1,,,
1,,300,,296,0,1,,,
1,,0,,381,0,1,,,
1,,0,,371,0,1,,,
1,,0,,371,0,1,,,
1,,0,,371,0,1,,,
1,,0,,420,0,1,,,
1,,0,,420,0,1,,,
1,,0,,420,0,1,,,
1,,20000,,282,0,1,,,
1,,20000,,282,0,1,,,
1,,20000,,282,0,1,,,
1,,4000,,382,0,1,,,
1,,4000,,382,0,1,,,
1,,4000,,382,0,1,,,
1,,4000,,382,0,1,,,
1,,38500,,287,0,1,,,
1,,0,,342,0,1,,,
1,,0,,247,0,1,,,
1,,0,,247,0,1,,,
1,,0,,247,0,1,,,
1,,0,,247,0,1,,,
1,,0,,247,0,1,,,
1,,0,,247,0,1,,,
1,,0,,247,0,1,,,
1,,850,,499,0,1,,,
1,,850,,499,0,1,,,
1,,1500,,408,0,1,,,
1,,1500,,408,0,1,,,
1,,0,,205,0,1,,,
1,,0,,205,0,1,,,
1,,0,,205,0,1,,,
1,,0,,205,0,1,,,
1,,0,,205,0,1,,,
1,,0,,205,0,1,,,
1,,4000,,408,0,1,,,
1,,4000,,408,0,1,,,
1,,4000,,408,0,1,,,
1,,1000,,374,0,1,,,
1,,1000,,374,0,1,,,
1,,1000,,374,0,1,,,
1,,0,,354,0,1,,,
1,,0,,354,0,1,,,
1,,0,,354,0,1,,,
1,,48000,,280,0,1,,,
1,,0,,327,0,1,,,
1,,32500,,474,0,1,,,
1,,32500,,474,0,1,,,
1,,0,,372,0,1,,,
1,,0,,372,0,1,,,
1,,0,,372,0,1,,,
1,,0,,372,0,1,,,
1,,0,,346,0,1,,,
1,,4000,,346,0,1,,,
1,,7000,,247,0,1,,,
1,,7000,,247,0,1,,,
1,,7000,,247,0,1,,,
1,,7000,,247,0,1,,,
1,,5000,,380,0,1,,,
1,,5000,,380,0,1,,,
1,,188000,,454,0,1,,,
1,,0,,513,0,1,,,
1,,302000,,388,0,1,,,
1,,302000,,388,0,1,,,
1,,135000,,372,0,1,,,
1,,135000,,372,0,1,,,
1,,135000,,372,0,1,,,
1,,35000,,494,0,1,,,
1,,35000,,494,0,1,,,
1,,105000,,375,0,1,,,
1,,105000,,375,0,1,,,
1,,30000,,401,0,1,,,
1,,30000,,401,0,1,,,
1,70000,302000,,383,15974.951,5,18.904596,.81182796,
1,70000,302000,,383,0,1,,.81182796,
1,,142000,,562,0,1,,,
1,,209000,,442,0,1,,,
1,,209000,,442,0,1,,,
1,,209000,,442,0,1,,,
1,,0,,379,0,1,,,
1,,0,,379,0,1,,,
1,,193500,,360,0,1,,,
1,,193500,,360,0,1,,,
1,,156000,,270,0,1,,,
1,,156000,,270,0,1,,,
1,,200000,,220,0,1,,,
1,,200000,,220,0,1,,,
1,,200000,,220,0,1,,,
1,,200000,,220,0,1,,,
1,,70000,,282,0,1,,,
1,,250000,,286,0,1,,,
1,,250000,,286,0,1,,,
1,,250000,,286,0,1,,,
1,,0,,332,0,1,,,
1,,133000,,241,0,1,,,
1,,133000,,241,0,1,,,
1,,80000,,313,0,1,,,
1,,80000,,313,0,1,,,
1,,80000,,217,0,1,,,
1,,80000,,217,0,1,,,
1,,1000,,255,0,1,,,
1,,1000,,255,0,1,,,
1,,0,,181,0,1,,,
1,,0,,181,0,1,,,
1,,0,,181,0,1,,,
1,,0,,181,0,1,,,
1,,40000,,187,0,1,,,
1,,40000,,187,0,1,,,
1,,0,,210,0,1,,,
1,,0,,210,0,1,,,
1,,0,,210,0,1,,,
1,,0,,416,0,1,,,
1,,0,,416,0,1,,,
1,,0,,416,0,1,,,
1,,0,,381,0,1,,,
1,,20000,,406,0,1,,,
1,,20000,,406,0,1,,,
1,,20000,,406,0,1,,,
1,,0,,333,0,1,,,
